k	l	 Weighting	Accuracy
1	-1	 False	    0.6805555555555556
1	1	 False	    0.5833333333333334
1	2	 False	    0.5694444444444444
1	3	 False	    0.6666666666666666
1	4	 False	    0.6388888888888888
1	5	 False	    0.6388888888888888
1	6	 False	    0.6388888888888888
1	inf	 False	    0.625
2	-1	 False	    0.5833333333333334
2	1	 False	    0.5416666666666666
2	2	 False	    0.5277777777777778
2	3	 False	    0.5555555555555556
2	4	 False	    0.5416666666666666
2	5	 False	    0.5416666666666666
2	6	 False	    0.5416666666666666
2	inf	 False	    0.6111111111111112
3	-1	 False	    0.6805555555555556
3	1	 False	    0.6527777777777778
3	2	 False	    0.6805555555555556
3	3	 False	    0.7083333333333334
3	4	 False	    0.6944444444444444
3	5	 False	    0.6944444444444444
3	6	 False	    0.6944444444444444
3	inf	 False	    0.5833333333333334
4	-1	 False	    0.6666666666666666
4	1	 False	    0.6111111111111112
4	2	 False	    0.625
4	3	 False	    0.6805555555555556
4	4	 False	    0.6805555555555556
4	5	 False	    0.6805555555555556
4	6	 False	    0.6805555555555556
4	inf	 False	    0.5555555555555556
5	-1	 False	    0.6944444444444444
5	1	 False	    0.7222222222222222
5	2	 False	    0.7083333333333334
5	3	 False	    0.6944444444444444
5	4	 False	    0.7083333333333334
5	5	 False	    0.7083333333333334
5	6	 False	    0.7083333333333334
5	inf	 False	    0.6388888888888888
6	-1	 False	    0.6805555555555556
6	1	 False	    0.6805555555555556
6	2	 False	    0.7222222222222222
6	3	 False	    0.7083333333333334
6	4	 False	    0.7083333333333334
6	5	 False	    0.7083333333333334
6	6	 False	    0.7083333333333334
6	inf	 False	    0.5833333333333334
7	-1	 False	    0.6666666666666666
7	1	 False	    0.6944444444444444
7	2	 False	    0.7083333333333334
7	3	 False	    0.6944444444444444
7	4	 False	    0.6944444444444444
7	5	 False	    0.6944444444444444
7	6	 False	    0.6944444444444444
7	inf	 False	    0.7222222222222222
8	-1	 False	    0.6666666666666666
8	1	 False	    0.6805555555555556
8	2	 False	    0.6944444444444444
8	3	 False	    0.7083333333333334
8	4	 False	    0.7083333333333334
8	5	 False	    0.7083333333333334
8	6	 False	    0.7083333333333334
8	inf	 False	    0.6666666666666666
9	-1	 False	    0.6666666666666666
9	1	 False	    0.7083333333333334
9	2	 False	    0.7222222222222222
9	3	 False	    0.7361111111111112
9	4	 False	    0.7361111111111112
9	5	 False	    0.7361111111111112
9	6	 False	    0.7361111111111112
9	inf	 False	    0.7638888888888888
10	-1	 False	    0.6805555555555556
10	1	 False	    0.7222222222222222
10	2	 False	    0.7083333333333334
10	3	 False	    0.7222222222222222
10	4	 False	    0.7222222222222222
10	5	 False	    0.7222222222222222
10	6	 False	    0.7222222222222222
10	inf	 False	    0.75
11	-1	 False	    0.6944444444444444
11	1	 False	    0.6944444444444444
11	2	 False	    0.7222222222222222
11	3	 False	    0.7361111111111112
11	4	 False	    0.7222222222222222
11	5	 False	    0.7222222222222222
11	6	 False	    0.7222222222222222
11	inf	 False	    0.75
12	-1	 False	    0.6944444444444444
12	1	 False	    0.7083333333333334
12	2	 False	    0.6944444444444444
12	3	 False	    0.7361111111111112
12	4	 False	    0.7083333333333334
12	5	 False	    0.7083333333333334
12	6	 False	    0.7083333333333334
12	inf	 False	    0.7361111111111112
13	-1	 False	    0.7083333333333334
13	1	 False	    0.7083333333333334
13	2	 False	    0.7222222222222222
13	3	 False	    0.7222222222222222
13	4	 False	    0.7083333333333334
13	5	 False	    0.7083333333333334
13	6	 False	    0.7083333333333334
13	inf	 False	    0.7638888888888888
14	-1	 False	    0.7222222222222222
14	1	 False	    0.7222222222222222
14	2	 False	    0.7083333333333334
14	3	 False	    0.7083333333333334
14	4	 False	    0.7083333333333334
14	5	 False	    0.7083333333333334
14	6	 False	    0.7083333333333334
14	inf	 False	    0.75
15	-1	 False	    0.7222222222222222
15	1	 False	    0.7083333333333334
15	2	 False	    0.7361111111111112
15	3	 False	    0.7083333333333334
15	4	 False	    0.7083333333333334
15	5	 False	    0.7083333333333334
15	6	 False	    0.7083333333333334
15	inf	 False	    0.7222222222222222
16	-1	 False	    0.75
16	1	 False	    0.7222222222222222
16	2	 False	    0.6944444444444444
16	3	 False	    0.75
16	4	 False	    0.75
16	5	 False	    0.75
16	6	 False	    0.75
16	inf	 False	    0.7222222222222222
